№;Название файла (локально);File ID в векторном хранилище
55;GEO_08_UNI_RUS_2023_Каратабанов Р._2.pdf;file-1zp5WQu3s1jbMdJUMn83jm
56;KHS_08_UNI_KAZ_2018_Кабульдинов З._0.pdf;file-Xo6E8zT1cSjpcao45wjsRJ
57;KHS_08_UNI_KAZ_2018_Омарбеков Т._0.pdf;file-CStTLs3dJ1SEMDqZPqnDbz
58;KHS_08_UNI_RUS_2018_Кабульдинов З._0.pdf;file-GPGkUyCTrthpqgtkfi9zYP
59;KHS_08_UNI_RUS_2018_Омарбеков Т._0.pdf;file-Q6M2XuBJDkFpJdbFVBrBk6
60;KLT_08_UNI_KAZ_2022_Зайкенова Р._0.pdf;file-4W8hXJzzFhfEQAadQg6xfQ
61;RLT_08_UNI_KAZ_2018_Андриянова Т._0.pdf;file-HbYDS1MKSt3MxdHx8w32Qm
62;RLT_08_UNI_RUS_2018_Шашкина Г.З._1.pdf;file-DsBaPVyX6hujFzuAPdiW63
63;RLT_08_UNI_RUS_2018_Шашкина Г.З._2.pdf;file-VnibnWA9hsfZEAW4UBs9Ux
64;WHS_08_UNI_KAZ_2024_Алдабек Н._0.pdf;file-PrJsDrnsnDuY6jv69poU8T
65;WHS_08_UNI_RUS_2024_Алдабек Н._0.pdf;file-VXqn6Jab2KidmQKLGSCZZK
66;GEO_09_UNI_KAZ_2024_Каратабанов Р._0.pdf;file-5YDU7ZrrpNoDTqLCz3D1eY
67;GEO_09_UNI_KAZ_2024_Толыбекова Ш.Т._1.pdf;file-XHVPeZLuFeDdKKYrEKrnJq
68;GEO_09_UNI_KAZ_2024_Толыбекова Ш.Т._2.pdf;file-9pQpEiFPwQwCgKNaruy38H
69;GEO_09_UNI_KAZ_2024_Усиков В.В._1.pdf;file-Pb75dFLDgbo7Vyn53qY6xC
70;GEO_09_UNI_KAZ_2024_Усиков В.В._2.pdf;file-G3ip5PDUjBQmyswNKHsFBD
71;GEO_09_UNI_RUS_2024_Каратабанов Р._0.pdf;file-389mymgbveER5MBwurRdUS
72;GEO_09_UNI_RUS_2024_Толыбекова Ш._1.pdf;file-FZtVcMtmgTxSHTsABYRv2M
73;GEO_09_UNI_RUS_2024_Толыбекова Ш._2.pdf;file-Je9HS3bneyJeaDftzUoWzp
74;GEO_09_UNI_RUS_2024_Усиков В.В._1.pdf;file-6JgfnpPR63QpgVTJQePtGU
75;GEO_09_UNI_RUS_2024_Усиков В.В._2.pdf;file-RV6gy2BPwPt1HBdjQ3HSst
76;KHS_09_UNI_KAZ_2024_Аяган Б.Г._0.pdf;file-LY7d6RsfzqJ1U9av67pt2y
77;KHS_09_UNI_KAZ_2024_Өскембаев Қ._0.pdf;file-RWqqFeCJ8mFEDg56YREuc2
78;KHS_09_UNI_RUS_2024_Аяган Б.Г._0.pdf;file-ST99WzzP8SPc8q7TxrVZFn
79;KHS_09_UNI_RUS_2024_Ускембаев К._0.pdf;file-TspTEgPDeZmvbo4Uzix89p
80;KLT_09_UNI_KAZ_2022_Зайкенова Р._0.pdf;file-6hPZxZke523yyQzLdgWFDo
81;LAW_09_UNI_KAZ_2019_Ибраева А.С._0.pdf;file-8PYK5yXp6JCgJ8QG4VasrY
82;LAW_09_UNI_RUS_2019_Ибраева А.С._0.pdf;file-7VBWyQwzkzx8XfQGeCuQ6E
83;REL_09_UNI_KAZ_2023_Кенжетаев Д.Т._0.pdf;file-VrUtQRgdrKahGAb1Ljfrtb
84;REL_09_UNI_RUS_2023_Кенжетаев Д.Т._0.pdf;file-5nspuEFP55sa3iaQzK26w4
85;RLT_09_UNI_KAZ_2019_Савельева В._0.pdf;file-YY9faD7UxPAzVaFyiih6fR
86;RLT_09_UNI_KAZ_2019_Сафронова Л._0.pdf;file-Bp1vaiopQ3QASTBUx6oWrD
87;WHS_09_UNI_KAZ_2019_Алдабек Н._1.pdf;file-7fpC4uxpi7jCRUov4bR6v3
88;WHS_09_UNI_KAZ_2019_Алдабек Н._2.pdf;file-X2zhad1d2u18dUQsqT4MvG
89;WHS_09_UNI_RUS_2019_Алдабек Н._1.pdf;file-Fgn4nHphqWJUMYM5vgsJVs
90;WHS_09_UNI_RUS_2019_Алдабек Н._2.pdf;file-QpLaLME8f9xSLwZef5HfwZ
91;ABT_10_UNI_KAZ_2019_Зайкенова Р._0.pdf;file-94Pf8cu3AHgEyc9QGPXnxn
92;BIZ_10_UNI_KAZ_2019_Аганина К.Ж._0.pdf;file-SrKf1B5fn25Yz4mhwDRwGj
93;BIZ_10_UNI_KAZ_2019_Дүйсенханов Е._1.pdf;file-VNvNuYobs1ufHXUvT21oeG
94;BIZ_10_UNI_KAZ_2019_Дүйсенханов Е._2.pdf;file-N25kZAVVhKGqkvkXJQto2K
95;BIZ_10_UNI_RUS_2019_Аганина К.Ж._0.pdf;file-4tc8vDxeyRLTf7kAFNMvLc
96;BIZ_10_UNI_RUS_2019_Дүйсенханов Е._1.pdf;file-3WFdDig5Ycco65qxon5LkY
97;BIZ_10_UNI_RUS_2019_Дүйсенханов Е._2.pdf;file-ToWuMqr4asQCayoXwVMGU1
98;GEO_10_EMN_KAZ_2019_Телепбекова С.К._1.pdf;file-JqxYjas8mqtT34VfmniX39
99;GEO_10_EMN_KAZ_2019_Телепбекова С.К._2.pdf;file-L1uv598JknDsv676qLF9fs
100;GEO_10_EMN_RUS_2019_Каймулдинова К._0.pdf;file-TVQcA19qeTDuTy6EJM2bZi
101;GEO_10_EMN_RUS_2019_Тулепбекова С._1.pdf;file-BdyFWrzmVuHtAKHoFTdBjb
102;GEO_10_EMN_RUS_2019_Тулепбекова С._2.pdf;file-2xVUsyyQZGeEFLNhqRz3Hw
103;GEO_10_OGN_KAZ_2019_Каймулдинова К._0.pdf;file-H5r6Pxi3bvmFJKJftiYxLX
104;GEO_10_OGN_RUS_2019_Каймулдинова К._0.pdf;file-8yYqeEcxrgrhzmTD7i5YUr
105;KHS_10_UNI_KAZ_2019_Жандосова З.А._0.pdf;file-8wLyyE9JXzAiD7ZAqkiF51
106;KHS_10_UNI_RUS_2020_Жандосова З.А._0.pdf;file-9VEeU7oJjvMon4mZqv4EbE
107;KLT_10_EMN_KAZ_2019_Орда Г._0.pdf;file-3tEa8rJwWMf9K4JVWkNdKG
108;KLT_10_OGN_KAZ_2019_Ақтанова А.С._0.pdf;file-9h3twykWtbXmT8dcFHayCW
109;KLT_10_OGN_KAZ_2019_Орда Г._0.pdf;file-9isDdozMtL883zRpja1MA2
110;KLT_10_OGN_KAZ_2019_Қасқабасов С._0.pdf;file-CcNmhcNK4wtoHEZHzG2djU
111;LAW_10_EMN_KAZ_2019_Ибраева А.С._0.pdf;file-29eo5FEv6DdBurU9Ecqr1t
112;LAW_10_EMN_RUS_2019_Ибраева А.С._0.pdf;file-A1er3uKzmXmBsoNDpWQxz2
113;LAW_10_OGN_KAZ_2019_Ибраева А.С._1.pdf;file-M56EjSS44yum7CyJdv5mZz
114;LAW_10_OGN_KAZ_2019_Ибраева А.С._2.pdf;file-VzkTnhZV2Zc5WH7NhvyTEA
115;LAW_10_OGN_RUS_2019_Ибраева А.С._1.pdf;file-QBva11QdfGhc1rLs5BLNf8
116;LAW_10_OGN_RUS_2019_Ибраева А.С._2.pdf;file-WZdE2xKtc41d1eNxDaMqTJ
117;RLT_10_OGN_RUS_2019_Лукпанова Г._0.pdf;file-H7ZthatDEKw2jkQokDJdRZ
118;WHS_10_EMN_KAZ_2019_Каирбекова Р.Р._1.pdf;file-TTFsuNotWvCP6gbznthdzN
119;WHS_10_EMN_KAZ_2019_Каирбекова Р.Р._2.pdf;file-HxACNKNeHaG8M4zy4zawBM
120;WHS_10_OGN_KAZ_2019_Каирбекова Р.Р._1.pdf;file-LFhSBjY93tQyyGN3wbSQar
121;WHS_10_OGN_KAZ_2019_Каирбекова Р.Р._2.pdf;file-GFyg1nforr15PXd9CAkWcB
122;ABT_11_UNI_KAZ_2020_Зайкенова Р._0.pdf;file-JWqxaTyJAQpn8FhYiQpi7j
123;BIZ_11_UNI_KAZ_2019_Дүйсенханов Е._1.pdf;file-VxBZXZQdyweV7qwgfoTpqK
124;BIZ_11_UNI_KAZ_2019_Дүйсенханов Е._2.pdf;file-LQkdJohmEpBN8fZLoed7nz
125;BIZ_11_UNI_RUS_2019_Дүйсенханов Е._1.pdf;file-Jn1vEqvzgFpkTmsRRYig9F
126;BIZ_11_UNI_RUS_2019_Дүйсенханов Е._2.pdf;file-8k8TcmFVNefTLXdBLsDZwS
127;GEO_11_EMN_RUS_2019_Каймулдинова К._0.pdf;file-J7xCGn5vkPoBSyFKbU8hcW
